344;-168;432
304;-240;472
280;-320;336
296;-368;296
328;-408;328
392;-408;344
464;-400;472
480;-416;448
528;-424;408
520;-472;480
512;-520;496
528;-576;424
504;-616;352
496;-624;368
496;-632;280
496;-672;280
520;-712;296
552;-696;264
592;-648;248
616;-584;168
632;-520;-48
640;-424;-72
608;-320;40
656;-120;48
856;200;40
1200;784;296
1680;1904;784
2536;2992;80
3312;3536;64
3696;3808;-328
3368;3944;-632
2688;4008;-368
2016;4040;-72
1504;3904;40
1112;3464;160
776;2944;24
432;2496;-144
176;2088;-184
16;1776;-112
-112;1512;-64
-128;1272;-48
-176;1056;40
-200;864;96
-256;696;176
-304;552;184
-360;424;208
-416;304;248
-464;224;304
-488;152;352
-504;72;352
-504;48;312
-504;16;256
-496;-24;240
-504;-48;232
-528;-40;184
-520;-40;120
-568;-64;80
-576;-80;112
-592;-88;88
-584;-56;16
-632;-64;16
-632;-64;56
-608;-88;56
-568;-56;16
-536;-32;-96
-512;24;-112
-488;128;-120
-528;392;-96
-560;1008;80
-392;2112;-16
8;3096;-56
744;3584;8
1984;3832;-200
3032;3952;344
3560;4016;-184
3392;3968;-184
2912;3592;-72
2424;3048;80
2088;2456;144
1824;1984;104
1640;1584;56
1504;1216;104
1304;904;0
1168;632;72
976;432;88
768;320;192
584;224;208
432;208;256
344;176;280
280;112;288
288;40;336
288;-80;272
280;-144;296
280;-192;304
296;-224;280
320;-304;208
328;-336;264
376;-368;272
440;-408;272
480;-464;296
504;-488;352
568;-512;408
568;-552;536
552;-568;544
552;-592;552
560;-664;616
584;-776;576
584;-840;496
608;-856;320
616;-816;240
632;-736;120
616;-576;128
568;-360;128
624;-256;184
792;-88;80
1096;520;-272
1664;1544;224
2512;2808;1488
3296;3448;272
3688;3760;80
3528;3920;-648
2656;4000;-560
1848;4040;-80
1232;3864;344
752;3464;440
312;3032;312
-64;2624;16
-328;2168;-136
-440;1752;-80
-472;1424;0
-496;1160;96
-528;872;152
-592;680;184
-600;480;184
-576;304;224
-568;136;232
-552;56;288
-536;8;312
-520;32;336
-496;48;384
-504;40;376
-480;8;360
-472;-48;288
-464;-56;272
-456;-56;216
-472;-64;216
-488;-72;120
-520;-56;48
-512;-32;48
-496;0;32
-504;48;56
-496;88;16
-512;120;-32
-544;120;-48
-528;136;-96
-496;176;-80
-480;272;-136
-472;576;32
-440;1280;272
-296;2608;232
48;3344;72
688;3712;-168
1760;3896;-528
2816;3984;-440
3240;4032;-312
3160;4056;-64
2824;3872;88
2400;3416;184
2080;2792;136
1864;2176;64
1696;1592;88
1528;1104;152
1304;768;128
1056;512;80
800;376;168
544;248;256
400;192;368
320;120;384
304;40;440
296;-56;440
304;-120;440
-640;-24;80
-624;0;88
-616;16;104
-584;80;120
-536;200;96
-480;392;56
-448;768;112
-384;1424;224
-208;2392;200
88;3232;296
456;3656;272
1120;3864;-24
1960;3976;96
2504;4024;-104
2544;4048;64
2320;3752;240
1920;3176;288
1552;2552;224
1312;1944;216
1160;1448;248
1064;1016;176
928;680;144
760;432;88
584;272;48
408;208;88
328;152;64
280;120;128
296;64;144
328;-24;192
352;-112;184
368;-184;248
368;-208;240
400;-280;240
440;-368;160
488;-432;208
528;-512;232
560;-560;216
544;-584;248
520;-576;232
488;-560;256
448;-536;176
416;-544;192
400;-552;128
384;-536;80
368;-544;120
384;-496;72
416;-480;72
432;-448;-88
416;-376;-176
376;-272;-192
392;-72;-256
520;296;-304
792;784;-448
1104;1440;-144
1368;2224;616
1736;3080;712
2744;3576;-184
3352;3832;-288
3024;3952;-312
2296;4016;-232
1584;3760;-16
976;3272;216
520;2792;296
160;2408;288
-72;2056;120
-200;1720;48
-256;1416;0
-264;1168;8
-288;968;-24
-344;792;-16
-384;656;56
-376;544;-32
-376;456;48
-368;352;56
-376;248;80
-352;192;48
-320;168;112
-304;120;112
-272;88;136
-240;72;168
-224;16;152
-224;-16;136
-240;-56;104
-264;-96;80
-288;-120;32
-304;-128;0
-328;-128;-32
-360;-104;72
-408;-112;56
-432;-112;48
-488;-88;80
-536;-80;80
-584;-80;72
-640;-64;64
-688;-40;32
-768;48;16
-816;312;-48
-792;944;-112
