32;-72;184
112;-40;160
208;8;160
224;56;144
224;96;136
192;112;136
160;112;72
104;80;80
120;72;120
88;32;128
48;0;184
0;-88;200
-40;-120;120
-80;-112;128
-88;-104;192
-72;-80;176
-56;-56;208
-72;-24;160
-48;-32;128
-40;-24;104
-32;-24;96
-32;-16;48
8;8;40
16;40;24
56;48;-24
104;32;-24
160;48;-32
224;72;-96
320;80;-240
528;136;-384
856;232;-432
1344;312;-336
1976;368;-80
2888;416;336
3480;600;792
3784;696;912
3928;840;912
3712;1064;640
3816;1208;544
3952;1272;560
4016;1320;488
4048;1320;384
3928;1296;336
3608;1192;232
3152;1080;136
2688;1016;80
2264;888;48
1824;752;88
1368;640;88
912;520;24
456;368;-96
-24;216;-240
-440;80;-312
-760;8;-328
-920;56;-312
-928;144;-80
-728;152;48
-496;136;120
-264;112;160
-96;72;144
32;32;104
136;-40;144
200;-56;184
256;-56;200
256;-16;304
232;56;280
192;72;288
144;80;208
128;56;152
136;32;152
144;-16;144
88;-48;128
0;-112;112
-56;-136;112
-80;-128;96
-80;-80;72
-96;-48;48
-104;0;64
-80;8;56
-48;8;64
-24;-24;32
-24;-56;80
-8;-24;88
0;16;24
8;32;56
24;40;24
88;64;-8
168;80;-48
272;88;-56
456;144;-192
800;248;-232
1304;328;40
1888;344;200
2504;368;400
3296;408;568
3688;360;600
3888;288;808
3712;288;832
3344;432;696
3048;640;440
2848;736;160
2648;672;-24
2464;448;-360
2248;176;-544
2048;-32;-488
1880;-80;-296
1720;48;-80
1584;216;64
1536;360;192
1464;424;136
1400;416;32
1312;440;8
1184;456;-16
1072;440;-32
976;448;-32
872;440;24
776;464;0
664;480;-32
544;448;-80
472;384;-32
416;304;-72
368;264;-56
352;240;32
328;184;24
312;136;16
328;104;-48
328;72;-24
344;48;-64
376;16;-88
408;-16;-72
424;-24;-152
464;-32;-72
520;0;-48
544;32;-40
616;64;-24
688;88;-40
760;88;-8
872;128;-8
904;112;-32
960;144;40
976;176;56
1008;240;64
1024;272;80
1048;296;80
1048;312;128
1056;312;112
1104;328;104
1136;344;136
1216;344;112
1280;360;96
1336;360;120
1408;400;96
1496;400;120
1520;376;112
1568;352;128
1568;320;152
1528;280;-72
1496;144;-136
1408;80;-160
1304;88;-144
1224;160;-112
1168;176;-128
904;416;-8
904;408;-8
904;384;-16
904;400;0
912;368;-24
912;376;-48
912;352;-40
920;344;-80
920;320;-80
928;312;-96
920;328;-96
920;336;-128
928;344;-96
920;352;-128
888;352;-120
872;360;-128
856;336;-120
808;328;-144
800;336;-152
792;344;-168
808;344;-168
832;360;-192
888;344;-208
936;328;-168
960;304;-168
1000;296;-216
1008;320;-128
1064;328;-96
1112;312;-80
1152;288;-40
1176;280;8
1176;248;40
1184;264;56
1144;216;136
1128;208;80
1088;200;104
1056;208;104
1016;192;64
984;184;80
952;176;56
944;184;40
944;192;24
952;208;-8
992;216;8
944;208;16
928;224;32
904;224;16
896;224;72
880;232;72
920;232;96
976;240;80
1032;248;112
1040;248;152
1056;256;184
1056;240;184
1080;224;200
1088;232;264
1120;256;224
1112;256;264
1112;264;200
1104;240;200
1112;232;128
1080;240;160
1088;232;144
1088;232;64
1104;232;104
1120;248;80
1120;224;104
1144;232;56
1144;224;128
1152;216;64
1152;216;104
1152;216;104
1128;216;120
1120;224;136
1096;216;152
1088;208;128
1064;192;184
1048;216;152
1048;208;136
1048;192;104
1040;216;88
1056;216;64
1048;216;96
1056;216;64
1056;208;40
1064;224;104
1056;224;112
1040;208;96
1048;208;112
1048;200;112
1048;200;104
992;224;152
960;200;80
984;208;96
968;224;88
1000;208;80
992;208;56
1000;208;72
1008;200;88
984;176;104
952;176;96
944;160;88
936;168;80
920;184;48
896;168;80
920;200;16
920;192;64
928;216;64
944;192;88
936;200;72
944;192;88
944;184;88
968;192;88
952;168;88
952;152;112
952;136;72
952;96;112
960;96;136
968;104;128
952;80;136
944;80;112
928;88;136
